年,月,日,曜,行事
2023,4,1,土,春学期開始
2023,4,1,土,オリエンテーション
2023,4,3,月,オリエンテーション
2023,4,4,火,大学院入学式
2023,4,5,水,オリエンテーション
2023,4,6,木,春セメスター授業開始
2023,4,22,土,統一補講日①
2023,4,29,土,祝日（昭和の日）
2023,5,3,水,祝日（憲法記念日）
2023,5,4,木,祝日（みどりの日）
2023,5,5,金,祝日（こどもの日）
2023,5,20,土,統一補講日②
2023,6,17,土,統一補講日③
2023,7,8,土,統一補講日④
2023,7,17,月,祝日授業日（海の日）
2023,7,22,土,統一補講日⑤
2023,7,26,水,春セメスター授業終了
2023,8,2,水,夏期休暇開始
2023,8,28,月,夏集中講義（第1週）開始
2023,9,2,土,夏集中講義（第1週）終了
2023,9,4,月,夏集中講義（第2週）開始
2023,9,5,火,春学期修了合否発表日（修士・専門職）・成績発表日
2023,9,9,土,夏集中講義（第2週）終了
2023,9,15,金,夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日　*1
2023,9,22,金,秋入学者オリエンテーション
2023,9,23,土,秋季学位授与式（修士・専門職）／秋分の日
2023,9,24,日,秋季学位授与式（課程博士・論文博士）
2023,9,25,月,秋季入学式
2023,9,25,月,夏期休暇終了
2023,9,25,月,春学期終了
2023,9,26,火,秋学期開始
2023,9,26,火,秋セメスター授業開始
2023,10,9,月,祝日授業日（スポーツの日）
2023,10,14,土,統一補講日①
2023,11,3,金,祝日授業日（文化の日）
2023,11,11,土,統一補講日②
2023,11,23,木,祝日授業日（勤労感謝の日）
2023,11,25,土,統一補講日③
2023,12,16,土,統一補講日④
2023,12,26,火,冬期休暇開始
2024,1,8,月,冬期休暇終了
2024,1,9,火,秋セメスター授業再開
2024,1,20,土,統一補講日⑤
2024,1,22,月,秋セメスター授業終了
2024,1,31,水,春期休暇開始
2024,3,5,火,秋学期修了合否発表日（修士・専門職）・成績発表日
2024,3,15,金,冬集中科目成績発表日
2024,3,20,水,学位授与式（修士・専門職）（朱雀・OIC）／春分の日
2024,3,21,木,学位授与式（修士・専門職）（衣笠）
2024,3,22,金,学位授与式（修士・専門職）（BKC）
2024,3,23,土,学位授与式（課程博士・論文博士）
2024,3,31,日,春期休暇終了
2024,3,31,日,秋学期終了
